Report Type,Count,Generated At
Total Students,14,2026-03-07 03:29:22
Total Notifications,59,2026-03-07 03:29:22
Total Results,0,2026-03-07 03:29:22
Total Fee Records,14,2026-03-07 03:29:22
Pending Payments,12,2026-03-07 03:29:22
