Report Type,Count,Generated At
Total Students,1,2026-02-05 13:11:12
Total Notifications,8,2026-02-05 13:11:12
Total Results,0,2026-02-05 13:11:12
Total Fee Records,0,2026-02-05 13:11:12
Pending Payments,0,2026-02-05 13:11:12
